Method,Alignment,%_T_dw_TG_Deconfounding,%_T_dw_TM_Deconfounding,%_T_dw_TT_Deconfounding,%_GM_dw_TGM_Deconfounding,%_TG_dw_TTG_Deconfounding,%_TM_dw_TTM_Deconfounding,%_TT_dw_TTG_Deconfounding,%_TT_dw_TTM_Deconfounding,GM_dw_TGM,TG_dw_TTG,TM_dw_TTM,TT_dw_TTG,TT_dw_TTM,T_dw_TG,T_dw_TM,T_dw_TT,#EdgesT,#EdgesTT,#EdgesTG,#EdgesTM,#EdgesGM,#EdgesTTG,#EdgesTTM,#EdgesTGM,overallScore,sum(TotalEdgesAllNetworks,TotalEdgesAllNetworks
DBN_,alignment,16.067431509809,11.4105306369372,20.1949917898194,65.6936940773552,16.3223416946379,27.6121149896611,2.27723359539912,1.45189450358052,298.25,67,84,14.3333333333333,9.33333333333333,28.25,21.75,49.6666666666667,154.75,334.25,354.75,271.75,381.5,634,549,493.5,0.713284112137174,12694,3173.5
DBN_,noalignment,13.2142923194743,2.29670612454967,12.6529603430118,64.2732326394117,12.8477717293528,0,1.84893159258716,0,295.25,48.75,0,10.3333333333333,0,23.75,9,30.3333333333333,150.75,304.25,343.5,259.75,397.75,638.5,0,475.25,0.734550698067704,10279,2569.75
PyCausal_,alignment,30.0742240215924,3.59199280251912,0,0,0,0,0,0,0,0,0,0,0,21.6666666666667,2.33333333333333,0,62.6666666666667,0,345,136,0,0,0,706.666666666667,0.400400369716531,3751,1250.33333333333
PyCausal_,noalignment,18.3300596344075,22.995522995523,0,0,0,0,0,0,0,0,0,0,0,20,40,0,95.3333333333333,0,336.666666666667,243.666666666667,0,0,0,482,0.385645237072253,3473,1157.66666666667
Tigramite_,alignment,160.672299509319,111.237679252221,129.433690568955,27.851245018913,0,0,0,0,1272.5,0,0,0,0,1450.25,552.8,1009.33333333333,542.8,1202,1058.8,1135.8,518.4,0,0,278,0.23838793020688,23679,4735.8
Tigramite_,noalignment,94.9970905100644,80.1071624266583,0,29.0782608695652,0,0,0,0,2508,0,0,0,0,639.2,390.8,0,533.4,0,1092.6,1248.4,506.8,0,0,282.4,0.250896871553725,18318,3663.6
