confounder,confoundedParent,confoundedChild,BootscoreConfounderP,BootscoreConfounderC,BootscoreConfounded,overalScore,method,sourceLevel,deconfoundedWith
m__hmdb00630,s__bacteroides_uniformis,s__ruminococcus_torques,0.2,0.2,0.2,0.008,PyCausal_,T,TM
g__shikimate_kinase,s__bacteroides_uniformis,s__bacteroides_caccae,0.2,0.2,0.2,0.008,PyCausal_,T,TG
g__shikimate_kinase,s__bacteroides_caccae,s__bacteroides_uniformis,0.2,0.2,0.2,0.008,PyCausal_,T,TG
g__triosephosphate_isomerase,s__bacteroides_finegoldii,s__bacteroides_xylanisolvens,0.2,0.2,0.2,0.008,PyCausal_,T,TG
