,,TT: #e->t,TT: #g->t,TT: #t->g,TT: #g->m,TT: #m->t,TT: #t->t,TT: #m->m,TT: #g->g,TGMT: #e->t,TGMT: #g->t,TGMT: #t->g,TGMT: #g->m,TGMT: #m->t,TGMT: #t->t,TGMT: #m->m,TGMT: #g->g,TGT: #e->t,TGT: #g->t,TGT: #t->g,TGT: #g->m,TGT: #m->t,TGT: #t->t,TGT: #m->m,TGT: #g->g,TMT: #e->t,TMT: #g->t,TMT: #t->g,TMT: #g->m,TMT: #m->t,TMT: #t->t,TMT: #m->m,TMT: #g->g,TTT: #e->t,TTT: #g->t,TTT: #t->g,TTT: #g->m,TTT: #m->t,TTT: #t->t,TTT: #m->m,TTT: #g->g,#TTTchains,#TGTchains,#TMTchains,#TGMTchains,intersectedTTT,intersectedTGTM,intersectedTGT,intersectedTMT,%UnrolledTTT,%UnrolledTGMT,%UnrolledTGT,%UnrolledTMT,overallScore
DBN_,noalignment,1,0,0,0,0,125.5,0,0,0,13,204,88.5,10.5,101,19,34,0,24.5,285.5,0,0,107,0,0,0,0,0,0,22.5,104.5,0,0,0,0,0,0,0,312.5,0,0,827.5,144,139,330,76.5,38,29,26,0.172770651298259,0.199891169154229,0.154477611940299,0.137002487562189,0.373050249514354
DBN_,alignment,0,0,0,0,0,157,0,0,1,22,239,95,15,120,19,34,0,31,309,0,0,129,0,0,1,0,0,0,24,143,0,0,0,0,0,0,0,373,0,0,1295,198,172,594,95,41,36,32,0.188866799204771,0.194312796208531,0.170616113744076,0.151658767772512,0.262679927225434
