T,Tx,G,M,Ti,T->(G|Tx)_Bs,(T|G)->M_Bs,(M|G|Tx)->Ti_Bs,T->Ti_Bs,overallScore,ChainInTTxTi,ChainInTGMTi,ChainInTGTi,ChainInTMTi
s__roseburia_intestinalis,,g__acetylcoa_cacetyltransferase,,s__bacteroides_fragilis,0.1,,0.3,0.1,0.003,FALSE,FALSE,TRUE,FALSE
s__bacteroides_thetaiotaomicron,,g__glutamate_dehydrogenase,,s__bacteroides_thetaiotaomicron,0.1,,0.1,0.3,0.003,FALSE,FALSE,TRUE,FALSE
s__eubacterium_ventriosum,,g__3hydroxybutyrylcoa_dehydrogenase,,s__roseburia_intestinalis,0.3,,0.1,0.1,0.003,FALSE,FALSE,TRUE,FALSE
s__roseburia_intestinalis,,g__3hydroxybutyrylcoa_dehydrogenase,,s__eubacterium_ventriosum,0.1,,0.3,0.1,0.003,FALSE,FALSE,TRUE,FALSE
s__odoribacter_splanchnicus,,g__5formyltetrahydrofolate_cycloligase,,s__eubacterium_rectale,0.1,,0.2,0.1,0.002,FALSE,FALSE,TRUE,FALSE
s__bacteroides_faecis,,g__superoxide_dismutase,,s__bacteroides_uniformis,0.1,,0.2,0.1,0.002,FALSE,FALSE,TRUE,FALSE
s__bacteroides_uniformis,,g__superoxide_dismutase,,s__bacteroides_faecis,0.2,,0.1,0.1,0.002,FALSE,FALSE,TRUE,FALSE
s__bacteroides_caccae,,g__dna_helicase,,s__ruminococcus_torques,0.2,,0.1,0.1,0.002,FALSE,FALSE,TRUE,FALSE
s__odoribacter_splanchnicus,,g__5formyltetrahydrofolate_cycloligase,,s__bacteroides_uniformis,0.1,,0.1,0.2,0.002,FALSE,FALSE,TRUE,FALSE
s__bacteroides_thetaiotaomicron,,g__peroxiredoxin,,s__roseburia_intestinalis,0.2,,0.1,0.1,0.002,FALSE,FALSE,TRUE,FALSE
s__eubacterium_siraeum,,g__aspartate_ammonialyase,,s__roseburia_intestinalis,0.1,,0.2,0.1,0.002,FALSE,FALSE,TRUE,FALSE
s__roseburia_intestinalis,,g__aspartate_ammonialyase,,s__eubacterium_siraeum,0.2,,0.1,0.1,0.002,FALSE,FALSE,TRUE,FALSE
s__roseburia_intestinalis,,g__dihydrolipoyl_dehydrogenase,,s__roseburia_intestinalis,0.1,,0.1,0.2,0.002,FALSE,FALSE,TRUE,FALSE
s__roseburia_intestinalis,,g__dihydrolipoyl_dehydrogenase,,s__roseburia_inulinivorans,0.1,,0.2,0.1,0.002,FALSE,FALSE,TRUE,FALSE
s__eubacterium_siraeum,,g__5formyltetrahydrofolate_cycloligase,,s__eubacterium_rectale,0.1,,0.2,0.1,0.002,FALSE,FALSE,TRUE,FALSE
s__ruminococcus_torques,,g__dna_helicase,,s__bacteroides_caccae,0.1,,0.1,0.1,0.001,FALSE,FALSE,TRUE,FALSE
s__bacteroides_xylanisolvens,,g__betalactamase,,s__bacteroides_ovatus,0.1,,0.1,0.1,0.001,FALSE,FALSE,TRUE,FALSE
s__bacteroides_ovatus,,g__betalactamase,,s__bacteroides_xylanisolvens,0.1,,0.1,0.1,0.001,FALSE,FALSE,TRUE,FALSE
s__clostridium_bolteae,,g__superoxide_dismutase,,s__clostridium_bolteae,0.1,,0.1,0.1,0.001,FALSE,FALSE,TRUE,FALSE
