Method,Alignment,%_T_dw_TG_Deconfounding,%_T_dw_TM_Deconfounding,%_T_dw_TT_Deconfounding,%_GM_dw_TGM_Deconfounding,%_TG_dw_TTG_Deconfounding,%_TM_dw_TTM_Deconfounding,%_TT_dw_TTG_Deconfounding,%_TT_dw_TTM_Deconfounding,GM_dw_TGM,TG_dw_TTG,TM_dw_TTM,TT_dw_TTG,TT_dw_TTM,T_dw_TG,T_dw_TM,T_dw_TT,#EdgesT,#EdgesTT,#EdgesTG,#EdgesTM,#EdgesGM,#EdgesTTG,#EdgesTTM,#EdgesTGM,overallScore,sum(TotalEdgesAllNetworks,TotalEdgesAllNetworks
DBN_,alignment,0.315955766192733,1.18204627822693,7.29869345879356,0,0,0,0,0.0662690523525514,0,0,0,0,1,2,3.5,14.3333333333333,170,394.666666666667,428.333333333333,249.333333333333,0,427.333333333333,338,540.666666666667,0.726401086281959,7645,2548.33333333333
DBN_,noalignment,0.66334991708126,1.08001658374793,3.8408028165185,0,0,0,0,0,0,0,0,0,0,4,3,7.33333333333333,161,393.666666666667,429,231.333333333333,0,429.666666666667,308.666666666667,514,0.750214970012958,7402,2467.33333333333
PyCausal_,alignment,13.7442804109471,2.85979452646119,9.64775964775965,3.88278388278388,0,0,3.28060388069197,0,9,0,0,8.5,0,22,4.5,14.5,152.5,324.5,350,196.5,234,386,231,623,0.279945465735825,4995,2497.5
PyCausal_,noalignment,8.883835234567,2.48872097714852,4.97744195429703,1.57412212419997,0,0,1.44787644787645,0,3,0,0,3.5,0,17,4.5,9,168,240.5,443.5,262.5,173,480,223.5,503,0.272541856747389,4988,2494
Tigramite_,alignment,143.730091723411,75.3815142360363,186.978255015441,0,0,0,19.2156754872031,13.9372868833757,0,0,0,1185,581.25,1341.25,534.8,1350,677.8,3157,1583.2,1328.8,175.6,1428,1309.6,361.8,0.191702627246311,50109,10021.8
Tigramite_,noalignment,95.3902915246435,82.1840409297387,128.164391039542,0,0,0,12.5120982575566,10.3484204281458,0,0,0,1295,481.8,1200.5,561.6,821.6,744.6,3583.6,1533.4,1326.4,181,1579.8,1286.6,402.2,0.169343990998441,53188,10637.6
