confounder,confoundedParent,confoundedChild,BootscoreConfounderP,BootscoreConfounderC,BootscoreConfounded,overalScore,method,sourceLevel,deconfoundedWith
s__clostridium_hathewayi,s__clostridium_clostridioforme,s__bacteroides_uniformis,1,0.48,0.52,0.2496,DBN_,T,TT
s__barnesiella_intestinihominis,s__bacteroides_faecis,s__alistipes_shahii,1,1,0.2,0.2,DBN_,T,TT
