,,TT: #g->t,TT: #t->g,TT: #g->m,TT: #m->t,TT: #t->t,TT: #m->m,TT: #g->g,TGMT: #g->t,TGMT: #t->g,TGMT: #g->m,TGMT: #m->t,TGMT: #t->t,TGMT: #m->m,TGMT: #g->g,TGT: #g->t,TGT: #t->g,TGT: #g->m,TGT: #m->t,TGT: #t->t,TGT: #m->m,TGT: #g->g,TMT: #g->t,TMT: #t->g,TMT: #g->m,TMT: #m->t,TMT: #t->t,TMT: #m->m,TMT: #g->g,TTT: #g->t,TTT: #t->g,TTT: #g->m,TTT: #m->t,TTT: #t->t,TTT: #m->m,TTT: #g->g,#TTTchains,#TGTchains,#TMTchains,#TGMTchains,intersectedTTT,intersectedTGTM,intersectedTGT,intersectedTMT,%UnrolledTTT,%UnrolledTGMT,%UnrolledTGT,%UnrolledTMT,overallScore
PyCausal_,noalignment,0,0,0,0,95.33333333,0,0,0,176,168.6666667,43,27,19,34,106.3333333,154,0,0,53.66666667,0,22.66666667,0,0,0,73.66666667,63.33333333,16.33333333,0,0,0,0,0,0,0,0,0,368.6666667,290.6666667,735.3333333,0,42,55,49.33333333,0,0.36751252,0.551476704,0.483516484,0.034300238
PyCausal_,alignment,0,0,0,0,62.66666667,0,0,0,270,314,35.33333333,27,19,34,118,169.6666667,0,0,37.66666667,0,19.66666667,0,0,0,40.33333333,41,10.66666667,0,0,0,0,0,0,0,0,0,404,73.33333333,1924,0,25.66666667,39.33333333,15,0,0.376270805,0.625730994,0.246221323,0.047076805
Tigramite_,noalignment,0,0,0,0,219.1538462,0,0,0,27.38461538,36.38461538,19,23.38461538,13,29.23076923,131.6153846,155.5384615,0,0,132,0,26.76923077,0,0,0,134,206.9230769,14.84615385,0,0,0,0,0,0,0,0,0,1757.461538,1957.230769,4050.384615,0,77.69230769,164.7692308,197.6923077,0,0.076923077,0.277679647,0.363427386,0.004426975
Tigramite_,alignment,0,0,0,0,235.3333333,0,0,0,32.5,37.75,20.41666667,16.16666667,11.66666667,23.33333333,144.9166667,163.9166667,0,0,125.9166667,0,23.5,0,0,0,138.3333333,191.5,12.33333333,0,0,0,0,0,503.0833333,0,0,12110.41667,1879.916667,1803,4787.416667,100.75,85.25,175.5833333,213.6666667,0.11268374,0.083333333,0.277612869,0.382737199,NaN
DBN_,noalignment,0,0,0,0,144.5,0,0,33.5,158.25,57.75,19,110,19,34,70,154.25,0,0,84.25,0,34,0,0,0,31.25,124.75,19,0,0,0,0,0,300.75,0,0,1942,358,163.25,383,76,44.5,64.5,37.25,0.186393901,0.247210667,0.389020815,0.213623733,0.463953214
DBN_,alignment,0,0,0,0,146.25,0,0,0,157.5,114,128.75,27,19,34,69.25,155.75,0,0,94.75,0,34,0,0,0,64.5,104.25,19,0,0,0,0,0,331,0,0,2316.5,361.75,311,4685.75,77.5,130,72.75,58.5,0.171382012,0.787923472,0.42515232,0.334329358,0.373563031
